song_id,entry_date,exit_date,days_on_playlist,peak_position,peak_date,time_to_peak
Europapa - Joost,2025-05-14,2025-05-18,5,33,2025-05-15,1
Eva Longoria - Ozuna,2024-08-12,2024-11-24,90,8,2024-08-29,17
Extasisssssss - Saiko,2024-12-20,2025-01-31,43,18,2024-12-22,2
FANTASÍAS - Mora,2024-08-30,2024-09-04,6,9,2024-08-30,0
FARDOS - JC Reyes & De La Ghetto,2025-02-18,2025-07-30,160,1,2025-02-22,4
FERXXO 151 - Feid,2024-09-30,2024-11-06,20,17,2024-09-30,0
FERXXO 151 - Feid & ICON,2024-08-26,2024-09-29,35,9,2024-08-26,0
FERXXO 30 - Feid,2024-10-07,2024-10-13,2,32,2024-10-07,0
FERXXO EDITION - Feid,2024-09-30,2024-10-01,2,43,2024-09-30,0
FINA - Bad Bunny,2024-10-14,2024-11-18,36,4,2024-10-14,0
FINALES DE AGOSTO - SAIKO,2025-04-28,2025-04-29,2,40,2025-04-28,0
"FLOWHOT (feat. Arcángel, De La Ghetto, Randy) - The Academy: Segunda Misión & Sech & Dalex",2025-03-31,2025-03-31,1,32,2025-03-31,0
FRIKI - Gonzy,2025-05-10,2025-11-26,198,8,2025-06-26,47
FRÍO - Myke Towers,2025-08-24,2025-08-24,1,36,2025-08-24,0
Falsos Recuerdos - Abraham Mateo & Omar Montes,2025-02-01,2025-02-25,24,32,2025-02-08,7
Fecha - Feid & Yandel,2025-04-14,2025-04-18,5,39,2025-04-17,3
Fecha - Intro Extended - Renzo Pianciola,2025-04-19,2025-04-20,2,46,2025-04-20,1
Feliz Navidad - José Feliciano,2024-12-25,2024-12-27,3,5,2024-12-25,0
Feliz Navidad - Saiko,2024-12-19,2024-12-20,2,36,2024-12-19,0
Figo - DELLAFUENTE & Morad,2024-12-02,2024-12-02,1,44,2024-12-02,0
Flow Violento - Remix - YoSoyPlex & Ruven,2024-05-30,2024-06-20,8,46,2024-06-06,7
Flowers - Miley Cyrus,2024-05-18,2024-06-06,18,44,2024-05-19,1
Fortnight (feat. Post Malone) - Taylor Swift,2025-04-21,2025-04-30,9,24,2025-04-24,3
Fosforito - DELLAFUENTE,2025-06-16,2025-06-16,1,46,2025-06-16,0
Fruto - Bizarrap & Milo j,2024-10-07,2024-11-11,36,12,2024-10-12,5
"Fé, Cojones y Paciencia - Eladio Carrion",2025-01-21,2025-01-21,1,38,2025-01-21,0
G-WA - ZHEUS,2025-11-21,2025-11-27,5,39,2025-11-23,2
GANGSTER (PQFNEDG) - Ovy On The Drums & Quevedo & Yandel,2024-10-21,2024-11-01,12,15,2024-10-21,0
GANGSTERS Y PISTOLAS - Feid,2024-09-30,2024-10-01,2,25,2024-09-30,0
GATITA GANGSTER - KAROL G,2024-09-13,2024-11-24,63,30,2024-10-12,29
GATITAS SANDUNGUERAS VOL.1 - Alvaro Diaz,2025-05-19,2025-07-03,46,12,2025-06-12,24
GRACIAS POR NADA - Bad Bunny,2024-10-14,2024-10-20,7,11,2024-10-14,0
GRAN VÍA - Quevedo,2025-11-24,2025-11-27,4,1,2025-11-24,0
Gata Only (Mashup) - Dj Agus Lima,2025-05-09,2025-05-10,2,5,2025-05-09,0
Gata Only - FloyyMenor,2025-08-10,2025-10-14,55,15,2025-08-10,0
Gata Only - FloyyMenor & Cris Mj,2025-02-24,2025-08-09,162,2,2025-04-06,41
Gitana (feat. Bryartz) - Pablo Chill-E,2025-05-03,2025-06-17,45,15,2025-05-17,14
Goteras - Omar Montes & JC Reyes,2025-06-30,2025-11-23,145,1,2025-07-08,8
Gran Día - Mau y Ricky & Guaynaa,2025-05-16,2025-06-01,13,17,2025-05-31,15
Guay - Ozuna & Bad Gyal,2025-04-21,2025-07-20,90,7,2025-04-27,6
HABLAME CLARO - Yandel,2025-10-13,2025-10-13,1,47,2025-10-13,0
HABLAME CLARO - Yandel & Feid,2025-10-02,2025-10-12,11,12,2025-10-02,0
HALO - Quevedo,2025-11-24,2025-11-27,4,7,2025-11-24,0
HAY LUPITA - Lomiiel,2025-07-12,2025-10-29,103,2,2025-08-04,23
HEY BB - SAIKO,2025-04-28,2025-05-02,5,26,2025-04-28,0
HIBIKI - Bad Bunny,2024-10-14,2024-12-01,49,2,2024-10-14,0
Hablame Claro - Yandel & Feid,2025-09-16,2025-10-01,16,5,2025-09-25,9
Hala Madrid ...y nada más - Real Madrid,2025-06-03,2025-06-03,1,43,2025-06-03,0
Hardaway - Duki,2025-11-03,2025-11-03,1,35,2025-11-03,0
Hasta Olvidarte - Mau y Ricky,2025-06-03,2025-06-08,6,23,2025-06-04,1
Hay Lupita - Megan Koffe,2025-06-28,2025-07-10,13,30,2025-07-08,10
Headshot - Anuel AA,2025-09-22,2025-09-22,1,29,2025-09-22,0
Heavy Is the Crown - Linkin Park,2025-09-27,2025-09-27,1,49,2025-09-27,0
Heavyweight - Eladio Carrion,2025-05-04,2025-05-04,1,49,2025-05-04,0
Hermosa Casualidad - Sen Senra & Aitana,2025-06-02,2025-06-09,6,39,2025-06-06,4
Hey Lil Mama - Eladio Carrion,2025-01-21,2025-04-13,78,8,2025-01-25,4
Hey Mor - Ozuna,2024-05-18,2024-09-12,97,30,2024-05-18,0
Historias Por Contar - Operación Triunfo 2023,2025-02-22,2025-02-24,3,28,2025-02-22,0
Holanda - Jhayco,2024-08-04,2025-03-12,219,3,2024-08-16,12
Holly Jolly Christmas - Michael Bublé,2024-12-25,2024-12-27,3,24,2024-12-25,0
Houdini - Dua Lipa,2024-11-11,2024-11-17,7,23,2024-11-11,0
Hoy - Valentino Merlo & The La Planta,2025-09-29,2025-10-04,6,13,2025-10-02,3
I Can Do It With a Broken Heart - Taylor Swift,2025-04-23,2025-04-23,1,50,2025-04-23,0
IA - Clarent,2025-10-20,2025-11-12,24,1,2025-11-09,20
IA - Clarent & Mora,2025-11-13,2025-11-27,15,1,2025-11-13,0
IGUALES - Quevedo,2025-11-24,2025-11-27,4,3,2025-11-24,0
IL Capo - Rauw Alejandro,2025-11-17,2025-11-17,1,38,2025-11-17,0
Imagínate - Danny Ocean & Kapo,2025-11-15,2025-11-27,13,15,2025-11-23,8
Imperio - Duki,2025-11-03,2025-11-23,19,15,2025-11-09,6
It's Beginning to Look a Lot like Christmas - Michael Bublé,2024-12-25,2024-12-27,3,16,2024-12-25,0
It's the Most Wonderful Time of the Year - Andy Williams,2024-12-25,2024-12-27,3,12,2024-12-25,0
"Japoni (Feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby) - Oscar el Ruso & Samuel G & Omar Montes",2025-05-05,2025-06-17,11,45,2025-06-03,29
"Japoni (feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby) - Oscar el Ruso & Samuel G & Omar Montes",2025-01-18,2025-04-01,61,26,2025-02-25,38
Jingle Bell Rock - Bobby Helms,2024-12-25,2024-12-27,3,10,2024-12-25,0
K-POP - Travis Scott & Bad Bunny & The Weeknd,2024-07-23,2024-08-05,14,21,2024-07-23,0
KASSANDRA - Quevedo,2025-11-24,2025-11-27,4,2,2025-11-24,0
KTM - Jhayco & Bryant Myers & Luar La L,2025-03-24,2025-03-28,4,16,2025-03-24,0
Khé? - Rauw Alejandro,2025-11-17,2025-11-27,11,8,2025-11-23,6
LA 125 - Quevedo,2025-11-24,2025-11-27,4,10,2025-11-24,0
LA BABY - Tainy,2024-07-02,2024-07-12,11,25,2024-07-02,0
LA CAPI - Myke Towers,2024-12-14,2025-09-25,233,13,2025-01-22,39
LA FALDA - Myke Towers,2024-11-25,2025-11-23,359,1,2025-02-18,85
LA INOCENTE - Mora,2024-05-30,2024-08-11,31,45,2024-06-21,22
LA MARINA STA MORENA - Figa Flawas,2025-08-07,2025-10-15,69,19,2025-09-04,28
LA NENA - Lyanno & Rauw Alejandro,2025-04-21,2025-05-25,27,25,2025-04-27,6
LA RANGER (feat. Myke Towers) - The Academy: Segunda Misión & Justin Quiles & Lenny Tavárez,2025-03-31,2025-07-16,107,3,2025-04-11,11
LA REINA - Lola Indigo,2025-06-16,2025-11-26,162,4,2025-06-20,4
LA RIJANA - SAIKO,2025-04-28,2025-04-29,2,41,2025-04-28,0
